DC_red,AC_red,(AC/DC)_red,DC_ir,AC_ir,(AC/DC)_ir,SpO2
105.2939355,0.156123078,0.001482736,135.1022986,0.245406052,0.001816446,94.93173309
105.284689,0.156258685,0.001484154,134.9271143,0.250311196,0.001855159,95.17827603
105.2487482,0.154107382,0.001464221,134.7819717,0.253397501,0.001880055,95.37910373
105.2469629,0.160816069,0.001527988,134.6222969,0.287329818,0.00213434,95.57993256
105.2460848,0.167458452,0.001591113,134.5304262,0.296321804,0.002202638,95.72600997
105.2350284,0.155936433,0.001481792,134.3879659,0.287948289,0.002142664,95.82643976
105.2263626,0.158300463,0.00150438,134.2754309,0.299063677,0.00222724,95.92689437
105.22128,0.174855324,0.001661787,134.208721,0.318732676,0.002374903,96.02731249
92.45408589,0.128055475,0.001385071,122.7787176,0.258039274,0.002101661,97.17894653
92.42028721,0.129499521,0.001401202,122.7384717,0.266941585,0.002174881,97.17893266
92.41183581,0.137458761,0.001487458,122.6811083,0.274923323,0.002240959,97.17892069
92.41209458,0.13928292,0.001507194,122.6257044,0.289019155,0.002356921,97.17892192
92.40861417,0.142016747,0.001536835,122.6008541,0.294770039,0.002404307,97.17893489
92.40546599,0.140943994,0.001525278,122.5906544,0.293129028,0.002391121,97.17891928
92.38349018,0.126708681,0.001371551,122.5706142,0.281786924,0.002298976,97.21778195
92.3718393,0.130734821,0.00141531,122.5018621,0.266726704,0.002177328,97.31812585
92.27475807,0.129158971,0.001399722,122.4070888,0.257683186,0.002105133,97.41843665
92.12566037,0.125146343,0.001358431,122.3100789,0.248315516,0.002030213,97.51882578
92.05911157,0.137310557,0.001491548,122.165857,0.26546711,0.002173006,97.61913564
92.00437057,0.137342834,0.001492786,122.0987601,0.263213943,0.002155746,97.71951767
91.91655691,0.135914644,0.001478674,121.9960778,0.259792246,0.002129513,97.81986797
91.84664093,0.131798423,0.001434984,121.8876641,0.2485302,0.00203901,97.9202281
91.81541086,0.132838868,0.001446804,121.7839783,0.254720234,0.002091574,97.98165167
91.68144611,0.140058952,0.00152767,121.633682,0.265662983,0.002184124,97.98167276
91.61338068,0.152349466,0.001662961,121.5386129,0.27779037,0.002285614,97.94283351
91.608307,0.17027419,0.00185872,121.4914867,0.321493042,0.002646219,97.88145259
91.61146321,0.163442919,0.001784088,121.4843584,0.311955889,0.002567869,97.88148531
91.60301134,0.16572558,0.001809172,121.4717015,0.317768811,0.00261599,97.88142976
91.58563955,0.164225108,0.001793132,121.4453595,0.296844285,0.002444262,97.88145805
91.5602651,0.152911247,0.001670061,121.4261099,0.284232785,0.002340788,97.84244253
91.53222019,0.139996566,0.001529479,121.3955305,0.270787959,0.002230625,97.74211909
91.49682407,0.135074484,0.001476275,121.3459254,0.257319269,0.002120543,97.64178237
91.46499552,0.136509407,0.001492477,121.2961732,0.256601366,0.002115494,97.58036416
91.44982646,0.139956033,0.001530413,121.2605776,0.258790254,0.002134166,97.58034054
91.4067053,0.127488238,0.001394736,121.1765491,0.251636645,0.002076612,97.58035655
91.37641068,0.122784969,0.001343727,121.1223302,0.238076742,0.001965589,97.54145577
91.29168458,0.121066329,0.001326148,121.0215621,0.233097813,0.001926085,97.441145
91.27076016,0.129694976,0.001420992,120.9618022,0.250677665,0.00207237,97.3408389
91.22406196,0.127148929,0.001393809,120.8952491,0.238532671,0.001973052,97.27953683
91.18583332,0.128703671,0.001411444,120.8356757,0.239404186,0.001981238,97.31855376
91.15492406,0.140624373,0.001542696,120.7834487,0.248307361,0.002055806,97.41889189
91.1098494,0.154307933,0.001693647,120.7316765,0.258757148,0.002143242,97.51922557
91.08198196,0.143687229,0.001577559,120.690583,0.252382574,0.002091154,97.61959586
91.053487,0.136878808,0.001503279,120.666067,0.24732678,0.00204968,97.71999905
91.0180292,0.137110182,0.001506407,120.6430208,0.252316687,0.002091432,97.82032351
91.00121209,0.131616422,0.001446315,120.5992696,0.245214371,0.002033299,97.92066682
90.96728836,0.132017745,0.001451266,120.5581013,0.240109845,0.001991653,98.02099148
90.91201135,0.122443863,0.001346839,120.4907198,0.227548575,0.001888515,98.12135221
90.86330612,0.122386233,0.001346927,120.435612,0.231024585,0.001918241,98.1826934
90.82173133,0.115491039,0.001271623,120.3976842,0.227552734,0.001890009,98.18270305
90.78458263,0.108456713,0.00119466,120.3503485,0.235665953,0.001958166,98.18272888
90.73450865,0.109491872,0.001206728,120.3249612,0.225711513,0.001875849,98.14358051
90.67636924,0.107638639,0.001187064,120.2924038,0.217241278,0.001805943,98.0432529
90.58080934,0.103674297,0.00114455,120.2287981,0.206063992,0.001713932,97.94287646
90.51173756,0.109762396,0.001212687,120.188484,0.221613551,0.001843883,97.84254328
90.44944373,0.115423085,0.001276106,120.1898058,0.229242941,0.001907341,97.74219147
90.38174811,0.118571171,0.001311893,120.1869654,0.240567526,0.002001611,97.64185432
90.34724045,0.126064349,0.001395331,120.2131936,0.253172503,0.002106029,97.54151254
90.30767195,0.120277217,0.00133186,120.2279829,0.23621624,0.001964736,97.44112495
90.28034628,0.117093265,0.001296996,120.2355168,0.218365659,0.001816149,97.30148244
90.19882628,0.122264754,0.001355503,120.226796,0.214866134,0.001787173,97.10055057
90.16536661,0.119395251,0.001324181,120.1999327,0.223191365,0.001856834,96.93879218
90.10584957,0.114414336,0.001269777,120.1652238,0.223015365,0.001855906,96.83824852
90.00861373,0.107063994,0.001189486,120.1127147,0.204668105,0.001703967,96.73768903
