RR,SpO2
1.027969096,92.66977224
0.978690046,92.47969892
0.974991241,92.27872161
0.944449587,92.16731124
0.976031903,92.06678995
0.933108373,91.96629047
0.87566664,92.04490599
0.807205374,92.14540083
0.847047648,92.24587112
0.873925422,92.43589164
0.847391971,92.63681067
0.837819227,92.92731287
0.823442698,93.31835915
0.804736771,93.63064133
0.761539562,93.93203341
0.769319783,94.23340975
0.792788847,94.44522485
0.778936016,94.64612227
0.7870826,94.84698404
0.787182433,94.95833389
0.778985267,95.05881787
0.811662975,95.15928257
0.783632027,95.17014965
0.788500362,95.17016341
0.812163348,95.17016605
0.868612906,95.17017732
0.883438429,95.17020681
0.90539816,95.17022921
0.845464495,95.25997707
0.749035483,95.36039469
0.732696819,95.46082103
0.801823847,95.56124655
0.792824758,95.66163641
0.746181113,95.76209266
0.701899577,95.86257728
0.693802007,95.96305398
0.726341634,96.06348204
0.687912975,96.1638869
0.718193529,96.17461077
0.727218227,96.17464524
0.776486202,96.08487043
0.79794399,97.18047016
0.805418514,97.18039636
0.73964659,97.18042433
0.768889888,97.18052293
0.81166723,97.18054178
0.780644185,97.18055465
0.750731784,97.18060877
0.725478155,97.1806176
0.726044166,97.18060737
0.71617782,97.18054464
0.721326739,97.18055941
0.687536167,97.1806494
0.689056448,97.18063542
0.64456614,97.18056864
0.611966141,97.18054453
0.685835658,97.180558
0.697484782,97.18054807
0.717628959,97.18054127
0.725526571,97.18053377
0.730778069,97.18054118
0.737370294,97.18057564
0.756118545,97.18057505
0.786747945,97.18060971
0.79292232,97.18063057
0.73782222,97.1806862
0.755673029,97.18074598
0.779777828,97.18076746
0.79233565,97.18078185
0.793445925,97.18079369
0.785397282,97.18078245
0.766686299,97.18077037
0.756385692,97.1807876
0.750617901,97.18077331
0.767703732,97.18078619
0.777887915,97.11951893
0.768632783,97.01892298
0.757021081,96.91836037
0.744476157,96.81774252
0.762727464,96.71716997
0.763672977,96.55538434
0.737155002,96.35436914
0.73804102,96.15334362
0.736739279,95.95235609
0.741214793,95.75137404
0.723990408,95.61166533
0.727407456,95.44997536
0.758067586,95.24911634
0.759448775,95.04829826
0.785622706,94.84743772
0.808149875,94.64646933
0.837279047,94.44556267
0.800785126,94.24465063
0.736947731,94.04376353
0.767241514,93.84283163
0.740738123,93.58054862
0.78284554,93.3404132
0.766339378,93.13946062
0.753358192,92.93851969
0.786822331,92.73756487
0.817312417,92.59792419
0.840203972,92.55885324
0.901106878,92.55884595
1.029419026,92.62022525
0.881969983,92.72066759
0.956292376,92.94385687
0.958777513,93.24525785
0.939548772,93.54665215
0.941380381,93.90944064
0.94880874,94.3112487
0.90705157,94.71304988
0.881020222,95.05343059
0.866941356,95.35476186
0.877512202,95.65622691
0.870328178,95.9576606
0.847595347,96.19771926
0.869137444,96.39870224
0.842331569,96.59968784
0.83633664,96.73924741
0.828539971,96.83983821
0.764933465,96.94044491
0.764319855,97.04104473
0.728772132,97.14162549
0.736942015,97.11903884
0.726862502,97.01849195
0.708036597,96.91790409
0.744846753,96.81734391
0.707694885,96.71677715
0.69889205,96.61624089
0.725477903,96.51567392
0.778592923,96.41507127
0.78015971,96.31445839
0.797911054,96.21389659
0.777138966,96.17495527
0.765233052,96.17495506
0.74265826,96.17499601
0.740359246,96.17500432
0.749932739,96.17504668
0.778104487,96.17503432
0.724632954,96.17501617
0.737175178,96.23678586
0.760257734,96.33741261
0.650821114,95.16957679
0.669343287,95.16959543
0.716935164,95.16960343
0.715539966,95.16956887
0.679335877,95.16957628
0.714081577,95.16959331
0.790558341,95.16956858
0.781063157,95.16958124
0.829177614,95.16956897
0.823601373,95.16956219
0.816094525,95.16956492
0.80422541,95.19517651
0.798597099,95.29560386
0.847938212,95.3960464
0.851173327,95.49647526
0.83274821,95.59691011
0.811672611,95.69734829
0.748576545,95.77210993
0.743534393,95.77213416
0.752876435,95.77213769
0.76403826,95.79780159
0.777649039,95.87259009
0.753328357,95.87259252
0.724324172,95.87259558
0.696561258,95.84686803
0.690687887,95.74641787
0.695699583,95.64598587
0.673290195,95.57124159
0.689014972,95.5712208
0.658253004,95.57122424
0.751942435,95.54558873
