DC_red,AC_red,DC_ir,AC_ir,SpO2
88.36945668,0.156574365,121.0118507,0.208576953,92.66977224
88.44094994,0.185047699,120.9533457,0.271216489,91.96629047
88.69086448,0.138576079,121.09386,0.22327863,92.63681067
88.82051219,0.138039144,120.7967206,0.244026633,94.23340975
88.87689028,0.144195118,120.364024,0.250685468,95.05881787
88.81586719,0.137308961,120.083205,0.213729423,95.17017732
88.85642555,0.117014567,120.1166787,0.215888793,95.46082103
88.8717023,0.123838422,120.0722106,0.24115644,95.96305398
88.89447825,0.145812297,120.0098455,0.253514322,96.08487043
107.7968841,0.155610945,145.4540518,0.263140289,97.18047016
107.5594024,0.147015819,144.8837041,0.253677587,97.18055465
107.5060245,0.135340517,144.5907164,0.252350056,97.18055941
107.4466396,0.128229814,144.5325286,0.251502157,97.180558
107.1396261,0.150366321,144.2789349,0.274610879,97.18057564
106.8324506,0.15937382,143.8434472,0.28396836,97.18074598
105.6629768,0.137220203,142.3427133,0.242060002,96.55538434
105.4804193,0.123764528,142.2349675,0.230514318,95.61166533
105.2637713,0.131741127,142.1507684,0.2201404,94.64646933
105.1935778,0.123217981,142.1504945,0.224785628,93.58054862
105.403682,0.150933135,142.3477746,0.249397099,92.59792419
105.6935183,0.186867724,142.6198456,0.263678797,92.94385687
106.0332536,0.188758177,142.4489263,0.279570206,94.71304988
106.3065715,0.173092271,142.2762833,0.273313769,96.19771926
106.4563493,0.151606447,142.0486869,0.264459799,96.94044491
106.4261575,0.160091943,141.878489,0.301426854,96.91790409
106.3657514,0.144477527,141.8647234,0.247492733,96.41507127
106.4440115,0.129927641,141.9814722,0.233358154,96.17499601
106.6403662,0.160516214,142.2466861,0.29044823,96.23678586
106.7617029,0.171193051,142.2669083,0.270146584,96.73977254
106.9358011,0.172787328,142.230663,0.271645143,97.18100279
122.0842691,0.149500915,0.33729287,164.3665485,97.17937899
122.2008733,0.17361468,0.32726448,164.4881312,96.7519291
122.2045469,0.186119211,0.307114084,164.5645782,95.59691011
122.1324184,0.190542955,0.308428638,164.6290476,95.79780159
122.0362698,0.176284506,0.311169427,164.5836951,95.74641787
121.9463367,0.140722664,0.2749238,164.550379,95.54558873
121.8398506,0.149242734,0.268166973,164.621307,95.16974176
121.5819025,0.144864505,0.25629603,164.7239467,95.0435422
121.163244,0.130477777,0.251988173,164.6830799,94.51554481
120.7466534,0.125291113,0.251707505,164.6437589,93.41051562
