DC_red,AC_red,DC_ir,AC_ir,(AC/DC)_red,(AC/DC)_ir,RR,SpO2
91.61338068,0.152349466,121.5386129,0.27779037,0.001662961,0.002285614,0.727577261,97.94283351
91.608307,0.17027419,121.4914867,0.321493042,0.00185872,0.002646219,0.702406033,97.88145259
91.61146321,0.163442919,121.4843584,0.311955889,0.001784088,0.002567869,0.694773852,97.88148531
91.60301134,0.16572558,121.4717015,0.317768811,0.001809172,0.00261599,0.691581937,97.88142976
91.58563955,0.164225108,121.4453595,0.296844285,0.001793132,0.002444262,0.733608585,97.88145805
91.5602651,0.152911247,121.4261099,0.284232785,0.001670061,0.002340788,0.713461102,97.84244253
91.53222019,0.139996566,121.3955305,0.270787959,0.001529479,0.002230625,0.685672504,97.74211909
91.49682407,0.135074484,121.3459254,0.257319269,0.001476275,0.002120543,0.696177826,97.64178237
91.46499552,0.136509407,121.2961732,0.256601366,0.001492477,0.002115494,0.705498015,97.58036416
91.44982646,0.139956033,121.2605776,0.258790254,0.001530413,0.002134166,0.717101209,97.58034054
91.4067053,0.127488238,121.1765491,0.251636645,0.001394736,0.002076612,0.671640315,97.58035655
91.37641068,0.122784969,121.1223302,0.238076742,0.001343727,0.001965589,0.683625659,97.54145577
91.29168458,0.121066329,121.0215621,0.233097813,0.001326148,0.001926085,0.688520232,97.441145
91.27076016,0.129694976,120.9618022,0.250677665,0.001420992,0.00207237,0.685684122,97.3408389
91.22406196,0.127148929,120.8952491,0.238532671,0.001393809,0.001973052,0.706422728,97.27953683
91.18583332,0.128703671,120.8356757,0.239404186,0.001411444,0.001981238,0.712405063,97.31855376
91.15492406,0.140624373,120.7834487,0.248307361,0.001542696,0.002055806,0.750409452,97.41889189
91.1098494,0.154307933,120.7316765,0.258757148,0.001693647,0.002143242,0.790226883,97.51922557
91.08198196,0.143687229,120.690583,0.252382574,0.001577559,0.002091154,0.754396593,97.61959586
91.053487,0.136878808,120.666067,0.24732678,0.001503279,0.00204968,0.733421512,97.71999905
91.0180292,0.137110182,120.6430208,0.252316687,0.001506407,0.002091432,0.72027528,97.82032351
91.00121209,0.131616422,120.5992696,0.245214371,0.001446315,0.002033299,0.7113145,97.92066682
90.96728836,0.132017745,120.5581013,0.240109845,0.001451266,0.001991653,0.728674369,98.02099148
90.91201135,0.122443863,120.4907198,0.227548575,0.001346839,0.001888515,0.71317356,98.12135221
90.86330612,0.122386233,120.435612,0.231024585,0.001346927,0.001918241,0.702167557,98.1826934
90.82173133,0.115491039,120.3976842,0.227552734,0.001271623,0.001890009,0.672813331,98.18270305
90.78458263,0.108456713,120.3503485,0.235665953,0.00119466,0.001958166,0.610091319,98.18272888
90.73450865,0.109491872,120.3249612,0.225711513,0.001206728,0.001875849,0.643296827,98.14358051
90.67636924,0.107638639,120.2924038,0.217241278,0.001187064,0.001805943,0.657309534,98.0432529
90.58080934,0.103674297,120.2287981,0.206063992,0.00114455,0.001713932,0.667792129,97.94287646
90.51173756,0.109762396,120.188484,0.221613551,0.001212687,0.001843883,0.657680886,97.84254328
90.44944373,0.115423085,120.1898058,0.229242941,0.001276106,0.001907341,0.669049792,97.74219147
90.38174811,0.118571171,120.1869654,0.240567526,0.001311893,0.002001611,0.655418565,97.64185432
90.34724045,0.126064349,120.2131936,0.253172503,0.001395331,0.002106029,0.662541356,97.54151254
90.30767195,0.120277217,120.2279829,0.23621624,0.00133186,0.001964736,0.67788267,97.44112495
90.28034628,0.117093265,120.2355168,0.218365659,0.001296996,0.001816149,0.714146208,97.30148244
90.19882628,0.122264754,120.226796,0.214866134,0.001355503,0.001787173,0.758461769,97.10055057
90.16536661,0.119395251,120.1999327,0.223191365,0.001324181,0.001856834,0.713138918,96.93879218
90.10584957,0.114414336,120.1652238,0.223015365,0.001269777,0.001855906,0.684181729,96.83824852
90.00861373,0.107063994,120.1127147,0.204668105,0.001189486,0.001703967,0.698068726,96.73768903
89.90844981,0.10826117,120.0366842,0.207693269,0.001204127,0.001730248,0.695927144,96.63710057
89.79435907,0.111713764,119.9466114,0.208633668,0.001244107,0.001739388,0.71525552,96.53651879
89.66600533,0.101899257,119.843701,0.190969592,0.001136431,0.001593489,0.71317184,96.43596539
89.52218004,0.094260678,119.7138466,0.177589006,0.001052931,0.001483446,0.709787288,96.29611096
89.39513386,0.096354216,119.4591409,0.192214492,0.001077846,0.00160904,0.669869344,96.09517024
89.27089277,0.087756827,119.346276,0.191536743,0.00098304,0.001604882,0.612530624,95.9334685
89.20037521,0.085517707,119.2443229,0.186979741,0.000958715,0.001568039,0.611409978,95.83311038
89.03932992,0.094399955,119.14212,0.192865476,0.001060205,0.001618785,0.654938826,95.69336653
88.93315031,0.094394194,119.0683638,0.179428834,0.001061406,0.00150694,0.704345522,95.4924928
88.83738633,0.108199116,118.9543779,0.183036438,0.001217946,0.001538711,0.79153626,95.29166368
88.71754685,0.113924345,118.9189529,0.18322589,0.001284124,0.001540763,0.83343408,95.09084499
88.71929498,0.116331235,118.9241795,0.173177065,0.001311228,0.001456197,0.900446767,94.85066103
