(AC/DC)_red,(AC/DC)_ir,RR,SpO2
0.00155161,0.001876741,0.826757469,96.17413918
0.001447851,0.002043582,0.708486777,96.17410971
0.001435478,0.002002391,0.716881824,96.1740704
0.001439911,0.00209106,0.688603145,96.17403675
0.001520529,0.002072966,0.733504342,96.17405784
0.001507581,0.002093075,0.720270952,96.17404404
0.001394826,0.001916844,0.727668033,96.1740328
0.001386614,0.00192215,0.721387235,96.17403552
0.001349186,0.001903993,0.708608743,96.17403105
0.001346927,0.001919852,0.701578309,96.17410068
0.001378761,0.001930408,0.714232741,96.17417141
0.001446235,0.001959881,0.737919743,96.17428168
0.001621231,0.00194759,0.832429328,96.17435891
0.00147075,0.001849804,0.795084379,96.17441223
0.001409221,0.00177681,0.793118387,96.1744262
0.001360422,0.001800356,0.755640312,96.17447385
0.001386801,0.001884369,0.735949515,96.17448904
0.001408983,0.001916434,0.735210958,96.17448987
0.001489626,0.001903445,0.782594539,96.1744917
0.001335951,0.001765473,0.756709993,96.17445349
0.001178386,0.001585049,0.743438162,96.17440758
0.001220688,0.001563032,0.780974797,96.17437039
0.001127628,0.001536256,0.734010784,96.17433177
0.001135046,0.001566489,0.724579418,96.17432285
0.001068587,0.001427362,0.748644505,96.17433128
0.001021706,0.001345939,0.759103234,96.17434729
0.001052212,0.001353932,0.77715291,96.17434851
0.001158175,0.001475986,0.784679104,96.1743555
0.001048927,0.001410033,0.74390235,96.08504142
0.001114447,0.0014821,0.751937741,95.98462575
0.001161554,0.001599031,0.726411229,95.88425717
0.001052736,0.001595592,0.65977769,95.7838436
0.001095648,0.001645496,0.665846581,95.68344018
0.001229385,0.00182396,0.674019479,95.58302317
0.00121063,0.001841077,0.657566086,95.48262277
0.001222039,0.001869974,0.653506123,95.38220119
0.001220296,0.001831839,0.666158828,95.28177343
0.00113905,0.001753444,0.649607715,95.09194407
0.001220957,0.001804038,0.676790897,94.98040703
0.001246456,0.001753026,0.711030923,94.87996167
0.001247586,0.001747386,0.713972697,94.77947648
0.001200737,0.001691159,0.710008103,94.67901988
0.00123983,0.001720226,0.720736756,94.48913862
0.001150427,0.001586802,0.724997548,94.2882578
0.001100019,0.001585188,0.693935634,94.08732417
0.001160275,0.001601668,0.724416698,93.88641356
0.001169458,0.001558521,0.7503639,93.68553649
0.001112293,0.00137874,0.806746394,93.57405331
0.001333443,0.001476908,0.902861452,93.38405233
0.001483776,0.001484443,0.99955061,93.18309751
0.001561715,0.001554654,1.004541773,92.98219511
0.001701407,0.0017762,0.957891365,92.78128255
0.001771815,0.001723608,1.027969096,92.66977224
0.001896099,0.001937385,0.978690046,92.47969892
0.001893712,0.001942286,0.974991241,92.27872161
0.001876752,0.001987139,0.944449587,92.16731124
0.001975154,0.002023658,0.976031903,92.06678995
0.002092331,0.002242323,0.933108373,91.96629047
0.001748576,0.001996851,0.87566664,92.04490599
0.001590382,0.001970232,0.807205374,92.14540083
0.001527667,0.00180352,0.847047648,92.24587112
0.001544205,0.001766976,0.873925422,92.43589164
0.001562462,0.001843848,0.847391971,92.63681067
0.001536027,0.001833364,0.837819227,92.92731287
0.001565845,0.001901583,0.823442698,93.31835915
0.001549666,0.00192568,0.804736771,93.63064133
0.001467242,0.001926679,0.761539562,93.93203341
0.001554136,0.002020143,0.769319783,94.23340975
0.001637273,0.002065207,0.792788847,94.44522485
0.001612715,0.002070407,0.778936016,94.64612227
0.001664428,0.00211468,0.7870826,94.84698404
0.001553134,0.001973029,0.787182433,94.95833389
0.001622414,0.002082728,0.778985267,95.05881787
0.001593445,0.001963186,0.811662975,95.15928257
0.001478671,0.001886946,0.783632027,95.17014965
0.001430114,0.001813713,0.788500362,95.17016341
0.001446666,0.001781251,0.812163348,95.17016605
0.001545996,0.001779844,0.868612906,95.17017732
0.001541704,0.001745117,0.883438429,95.17020681
0.001686032,0.001862199,0.90539816,95.17022921
0.001546389,0.001829041,0.845464495,95.25997707
0.001408895,0.001880945,0.749035483,95.36039469
0.001316895,0.001797326,0.732696819,95.46082103
0.001474729,0.001839218,0.801823847,95.56124655
0.001529934,0.001929726,0.792824758,95.66163641
0.00146972,0.001969656,0.746181113,95.76209266
0.001414503,0.00201525,0.701899577,95.86257728
0.001393452,0.002008428,0.693802007,95.96305398
0.001382922,0.001903955,0.726341634,96.06348204
0.001411634,0.002052053,0.687912975,96.1638869
0.001510321,0.002102944,0.718193529,96.17461077
0.001494933,0.002055687,0.727218227,96.17464524
0.001640285,0.002112446,0.776486202,96.08487043
0.001443557,0.001809096,0.79794399,97.18047016
0.001339515,0.00166313,0.805418514,97.18039636
0.001303416,0.001762214,0.73964659,97.18042433
0.001350334,0.001756212,0.768889888,97.18052293
0.001473445,0.001815332,0.81166723,97.18054178
0.001366834,0.001750905,0.780644185,97.18055465
0.001346037,0.001792967,0.750731784,97.18060877
0.001242253,0.001712323,0.725478155,97.1806176
0.00122279,0.001684182,0.726044166,97.18060737
0.001247006,0.001741197,0.71617782,97.18054464
0.001258911,0.001745271,0.721326739,97.18055941
